#OTU ID	16SAMP-2340	16SAMP-2589	16SAMP-2643	16SAMP-3459	16SAMP-3460	16SAMP-3463	16SAMP-4077	16SAMP-4081	16SAMP-4598	16SAMP-4601	MQ180605-111	MQ180605-112	MQ180605-113	MQ180605-114	MQ180605-115	MQ180605-116	MQ180605-117	MQ180605-118	MQ180605-119	MQ180605-120	MQ180605-121	MQ180605-122	MQ180605-123	MQ180605-124	MQ180605-125	MQ180605-126	MQ180605-127	MQ180605-128	MQ180605-129	MQ180605-130	MQ180605-131	MQ180605-132	MQ180605-133	MQ180605-134	MQ180605-135	MQ180605-136	MQ180605-137	MQ180605-138	MQ180605-139	MQ180605-140	MQ180605-141	MQ180605-142	MQ180605-143	MQ180605-144	MQ180605-145	MQ180605-146	MQ180605-147	MQ180605-148
ASV207	233	628	179	1	0	4	1	81	486	126	0	186	62	354	8	2	198	332	32	99	155	310	176	10	295	22	408	3	107	97	111	321	10	4	0	6	7	2	0	13	1	2	10	10	3	5	0	10
ASV1050	37	36	27	0	0	9	1	6	404	11	1	62	49	18	4	19	29	1	0	78	5	0	7	1	37	0	18	33	0	40	2	42	0	3	0	37	14	1	0	19	1	20	3	1	13	0	0	32
ASV41	1093	34	7	301	1	2	13	301	11	24	28	7	19	1094	3194	23	22	46	24	11	6	22	13	0	57	79	928	66	791	2061	1285	20	536	15	0	20	604	1617	605	59	18	926	9	314	5	511	0	8
ASV23	1085	3209	65	199	223	195	213	553	358	529	247	481	178	279	436	381	2326	295	57	985	1221	1061	695	20	406	374	1643	332	684	755	881	754	104	567	16	810	348	1023	130	261	336	233	625	563	162	307	5	439
ASV37	810	3541	725	26	0	7	70	131	21	651	8	892	151	213	69	644	429	478	89	602	251	563	299	15	363	66	1001	174	255	729	486	1360	118	291	14	613	523	24	786	348	10	123	269	381	59	155	1	112
ASV12035	5	1	0	0	0	0	0	0	0	0	2	0	2	1	0	0	4	0	0	1	3	3	1	0	0	0	3	1	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	3	1	0	0	0
ASV158	5663	0	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	1	0	0	7	1	2	45	0	140	2	14	662	0	1	11	1	0	0	13	0	82	12	0	1	0	0	0	0	0	0
ASV413	169	49	23	1	2	108	14	17	231	7	13	21	83	132	0	5	10	160	1	68	17	33	127	3	97	1	60	22	129	55	4	29	129	197	7	27	326	1	129	118	1	153	118	2	56	1	1	35
ASV1	10377	65053	1123	2202	186	350	431	3657	9424	18154	16587	1847	7787	2614	10092	2633	4491	6223	7296	9323	415	1454	985	88	2689	4154	4362	5016	3177	2347	5986	5700	2668	3041	1033	1940	1792	3323	16949	1924	599	248	10653	1131	1464	1388	38	5039
ASV551	200	0	0	3	0	0	0	34	1	2	1	3	0	0	2	0	0	22	0	71	0	100	3	0	2	1	190	0	7	195	227	1	10	33	2	6	105	5	857	35	0	2	1	81	0	88	0	0
ASV901	187	70	6	16	5	4	2	2	70	26	75	75	66	167	44	57	97	23	44	42	54	86	52	1	67	31	208	18	105	16	18	12	10	26	0	28	14	158	10	23	14	3	6	0	1	0	0	2
ASV91	550	876	212	0	0	0	6	237	3	61	215	58	165	27	21	141	307	289	214	379	450	700	276	4	1	12	658	135	125	119	597	701	61	60	2	35	320	4	48	10	7	5	110	227	22	197	0	24
ASV548	103	96	14	0	0	0	0	39	157	241	2	148	130	42	100	59	170	75	91	121	59	199	99	3	47	74	196	52	0	31	95	92	1	0	0	2	0	0	0	2	0	0	0	0	0	3	0	1
ASV103	63	442	30	239	57	154	236	37	81	133	72	231	139	107	174	229	209	108	73	198	84	101	71	3	72	156	159	271	83	226	147	136	242	423	24	702	317	672	444	537	859	510	498	395	259	191	4	312
ASV6973	1	1	1	0	0	0	0	0	13	0	11	0	1	1	0	0	0	4	0	1	5	3	0	0	8	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6	2539	572	294	1097	10	729	50	137	7836	1839	117	618	1064	2113	2565	1218	483	980	583	175	72	1208	67	14	476	2358	775	1734	723	1676	1418	90	916	557	8	956	1784	951	2720	392	167	841	40	850	346	397	10	1508
ASV30	343	3071	5789	8	0	0	10	245	1	217	476	23	23	31	1	5	18	520	2572	10	1	1	28	30	202	2	120	2356	16	3	46	3012	7	42	10	13	468	3	1027	89	29	0	283	2	2	2	1	162
ASV600	193	254	52	0	0	17	2	14	279	70	16	119	5	9	2	150	86	24	7	17	121	59	21	1	4	34	20	132	153	20	103	43	73	13	0	48	34	1	27	5	1	4	6	2	0	21	0	41
ASV1049	12	1	0	0	0	22	0	8	155	0	0	3	167	0	2	1	4	276	1	0	0	0	1	2	9	0	57	2	203	1	0	1	80	147	0	0	1	6	23	5	0	2	0	2	64	0	0	0
ASV6609	5	0	0	0	0	0	0	6	0	7	2	0	0	0	0	0	2	9	0	2	22	8	2	0	2	0	24	0	2	1	3	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0
ASV560	164	123	99	0	0	6	4	9	67	114	1	72	39	61	2	114	236	132	3	51	89	87	116	1	85	13	100	60	40	164	52	131	2	17	0	12	8	0	0	2	0	5	12	3	3	1	0	11
ASV2459	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	4	384	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	4	1	1	0	0	0	0	0
ASV1648	6	33	2	0	0	0	0	9	11	78	0	2	3	3	6	49	21	12	2	4	17	48	12	0	1	4	32	2	11	27	28	4	0	1	0	0	0	0	6	1	0	0	0	0	0	1	0	2
ASV395	276	713	0	2	0	8	29	0	7	221	0	0	4	0	17	62	1	10	26	6	52	154	6	2	1	38	16	2	52	2	74	11	103	40	0	8	129	18	155	4	8	0	8	517	1	43	0	180
ASV513	82	1421	0	16	0	7	0	29	84	40	46	15	64	21	46	125	105	77	4	49	2	11	12	2	68	146	13	16	5	74	38	159	6	16	1	8	32	3	29	35	1	4	20	14	9	8	0	3
ASV1508	53	18	1	0	0	0	1	26	1	2	47	1	1	5	6	4	3	146	0	0	4	0	164	1	13	2	98	14	21	2	0	95	0	7	0	1	0	0	3	0	0	0	2	0	0	0	0	0
ASV397	23	251	1	5	1	26	11	2	89	21	2	9	49	21	47	41	87	48	45	10	91	72	134	2	25	115	25	33	62	1	113	124	115	156	3	12	91	13	15	45	32	46	133	243	25	118	0	190
ASV3794	41	0	1	0	0	1	0	0	7	0	2	6	17	36	0	1	0	0	0	5	0	1	0	0	0	0	16	1	3	0	1	0	0	1	0	0	1	3	18	2	0	5	0	0	4	0	0	0
