#OTU ID	AmsterdamWest	Dokhaven	Houtrust	Kortenoord	Kralingseveer	Vianen
ASV157	104	0	12	0	0	0
ASV166	70	4	10	31	3	24
ASV579	15	0	16	3	0	11
ASV834	5	0	1	4	0	0
ASV356	15	0	14	0	0	0
ASV475	33	0	5	4	0	5
ASV81	44	0	54	23	0	19
ASV511	7	0	4	7	0	6
ASV43	111	0	68	59	5	48
ASV65	101	0	36	51	4	6
ASV392	3	0	48	6	1	2
ASV143	81	0	38	0	0	0
ASV58	59	0	221	0	0	0
ASV194	150	0	26	15	0	6
ASV238	38	0	1	3	0	8
ASV308	16	0	1	11	0	13
ASV107	46	0	31	27	0	53
ASV179	53	0	4	4	0	35
ASV792	6	0	8	1	0	0
ASV288	24	0	6	10	0	4
ASV24	82	0	200	42	9	87
ASV354	21	0	42	0	0	0
ASV104	89	0	61	2	0	0
ASV571	6	0	0	10	0	2
ASV150	33	0	54	3	0	0
ASV41	191	0	96	0	0	1
ASV652	13	0	2	3	1	0
ASV25	229	0	41	109	1	70
ASV455	41	0	0	0	1	0
ASV47	128	0	36	77	8	24
ASV79	90	0	14	40	0	55
ASV127	27	0	26	77	0	12
ASV426	38	0	0	1	0	9
ASV103	46	0	0	52	0	22
ASV163	8	0	43	23	0	33
ASV538	18	0	17	0	0	1
ASV326	27	0	0	8	0	0
ASV111	68	0	17	6	0	12
ASV11	291	4	289	21	1	18
ASV60	5	162	0	4	52	1
ASV585	15	0	9	0	0	1
ASV63	65	0	204	21	0	6
ASV523	20	0	21	0	0	3
ASV372	27	0	0	2	0	6
ASV13	122	0	267	174	3	93
ASV226	37	0	43	0	0	1
ASV274	31	0	25	27	1	42
ASV110	74	0	29	34	0	20
ASV409	27	0	38	4	2	6
ASV733	49	0	0	0	0	3
ASV506	17	0	20	3	0	7
ASV55	92	0	113	21	1	28
ASV517	9	0	0	13	0	0
ASV467	44	0	24	1	0	0
ASV773	6	0	10	0	0	0
ASV126	47	0	0	57	0	29
ASV281	26	0	4	14	0	26
ASV578	16	0	18	0	0	0
ASV215	10	0	20	17	1	31
ASV364	21	0	18	13	0	2
ASV672	22	0	3	0	0	2
ASV205	40	0	1	14	1	6
ASV249	25	0	3	1	1	19
ASV156	20	0	33	39	0	4
ASV317	36	0	0	27	1	3
ASV253	14	0	8	55	1	19
ASV66	78	0	38	43	1	62
ASV318	33	0	3	0	0	0
ASV343	62	0	1	50	0	3
ASV807	24	0	2	0	0	3
ASV245	1	43	0	1	7	0
ASV240	11	0	51	0	0	0
ASV229	40	0	12	0	0	2
ASV267	14	0	14	19	0	2
ASV380	7	0	3	13	0	22
ASV266	35	2	6	7	0	3
ASV53	53	0	141	127	2	91
ASV117	45	0	6	29	1	15
ASV638	26	0	11	2	1	11
ASV54	74	0	107	0	0	6
ASV45	183	0	63	4	5	12
ASV525	11	0	13	4	0	1
ASV831	11	0	6	2	0	0
ASV72	22	1	2	45	0	90
ASV195	41	0	0	13	0	55
ASV190	82	0	11	10	0	24
ASV462	14	0	18	1	0	0
ASV89	39	0	137	0	0	1
ASV167	46	0	7	29	1	14
ASV160	37	0	21	16	0	6
ASV520	20	0	27	3	0	0
ASV246	85	0	0	0	0	1
ASV556	10	0	16	1	0	0
ASV293	16	0	0	4	0	27
ASV241	2	0	4	2	0	41
ASV551	8	0	1	0	0	18
ASV403	18	0	1	4	1	14
ASV218	40	0	16	38	0	18
ASV247	5	0	9	33	2	3
ASV348	29	0	0	0	0	14
ASV414	42	0	7	0	0	0
ASV217	43	0	17	0	0	0
ASV671	30	0	14	0	0	0
ASV192	51	0	63	0	0	0
ASV472	5	0	3	13	1	25
ASV74	17	6	151	8	4	8
ASV805	10	0	5	0	0	4
ASV51	33	0	103	76	0	14
ASV208	12	0	11	22	0	14
ASV758	22	0	0	5	0	3
ASV27	300	0	118	84	4	91
ASV34	10	250	5	54	69	22
ASV393	22	0	1	6	0	2
ASV264	2	0	31	2	0	3
ASV178	13	0	25	42	2	22
ASV154	75	0	5	1	0	6
ASV351	20	0	27	1	0	3
ASV620	20	0	7	0	0	0
ASV255	15	0	40	4	3	0
ASV263	25	0	9	26	0	0
ASV165	72	0	0	1	0	0
ASV320	8	0	33	0	0	0
ASV736	5	0	0	0	0	5
ASV488	16	0	4	13	0	3
ASV148	26	0	0	8	0	63
ASV48	149	0	43	42	0	15
ASV270	12	0	9	5	0	15
ASV707	9	0	0	0	0	0
ASV290	26	0	2	11	0	0
ASV345	10	0	0	19	0	8
ASV35	199	0	64	0	0	7
ASV132	31	0	49	19	0	6
ASV268	12	0	37	1	1	18
ASV339	12	0	9	7	0	4
ASV204	26	0	13	22	0	14
ASV365	27	0	3	1	0	9
ASV327	32	0	0	15	2	7
ASV76	122	0	5	4	0	0
ASV297	16	0	22	3	0	4
ASV70	85	0	38	51	0	13
ASV225	10	0	56	0	0	0
ASV334	28	0	9	6	0	7
ASV325	19	0	12	2	0	0
ASV22	10	381	46	21	5	13
ASV344	36	0	18	0	0	0
ASV101	51	1	10	56	3	75
ASV230	18	0	15	21	0	9
ASV181	22	10	15	13	46	7
ASV67	56	1	56	51	0	34
ASV384	14	0	3	19	0	0
ASV129	100	0	7	47	0	33
ASV122	27	0	20	10	1	31
ASV690	15	0	0	0	0	1
ASV316	34	0	20	0	0	0
ASV846	2	0	8	2	0	0
ASV433	17	0	13	0	0	2
ASV172	36	0	24	4	0	16
ASV69	65	54	88	60	0	17
ASV442	45	0	10	2	0	8
ASV170	42	0	6	25	4	16
ASV123	29	0	16	71	2	15
ASV518	7	0	6	15	0	11
ASV121	107	0	27	1	0	1
ASV331	23	0	42	0	0	0
ASV120	88	0	36	0	0	1
ASV169	68	0	0	63	3	4
ASV415	21	0	0	2	0	0
ASV628	5	0	8	2	0	4
ASV695	7	0	3	1	0	4
ASV625	10	0	2	5	0	7
ASV95	61	0	9	48	4	17
ASV222	19	0	16	11	0	26
ASV18	213	0	293	12	1	34
ASV493	32	0	15	2	0	3
ASV21	268	0	66	197	1	88
ASV61	45	14	16	93	6	127
ASV528	16	0	0	7	0	5
ASV735	20	0	5	0	0	0
ASV301	20	0	0	14	0	12
ASV660	4	0	15	0	0	0
ASV582	2	2	2	14	23	6
ASV312	19	0	7	0	0	14
ASV40	95	0	116	21	0	36
ASV731	8	0	4	0	0	3
ASV10	137	0	289	234	4	15
ASV46	30	0	53	143	1	7
ASV286	5	0	49	0	0	0
ASV519	8	0	2	6	0	16
ASV501	8	0	12	0	0	17
ASV563	11	2	1	8	2	2
ASV83	124	2	9	28	0	4
ASV38	100	2	40	66	8	26
ASV709	16	0	0	0	0	0
ASV740	17	0	9	3	0	11
ASV304	25	0	0	5	0	7
ASV142	77	0	12	12	0	25
ASV280	14	0	9	19	0	39
ASV26	50	0	138	65	0	79
ASV182	46	0	51	5	0	0
ASV90	16	0	39	94	3	64
ASV619	23	0	19	6	2	12
ASV187	30	0	5	40	0	1
ASV358	6	0	6	23	0	9
ASV843	5	0	7	0	1	3
ASV28	168	0	118	8	0	16
ASV487	22	0	21	13	1	18
ASV505	14	0	7	7	0	0
ASV818	1	3	1	2	16	0
ASV350	19	0	2	15	0	2
ASV464	21	0	23	1	0	0
ASV278	11	0	9	31	0	18
ASV468	15	0	7	2	0	8
ASV490	37	0	9	2	0	0
ASV445	23	0	1	4	1	1
ASV200	33	0	0	13	0	35
ASV98	24	4	46	34	5	19
ASV338	29	0	19	0	1	3
ASV856	14	0	7	0	0	0
ASV394	13	0	18	4	0	1
ASV504	16	0	19	4	0	19
ASV779	11	0	0	1	0	0
ASV336	26	0	18	7	0	7
ASV776	13	0	0	1	0	0
ASV366	20	0	23	4	0	7
ASV678	11	0	1	15	1	10
ASV461	21	0	25	5	0	21
ASV396	2	0	1	12	0	30
ASV155	42	0	6	21	0	9
ASV254	52	0	0	18	0	3
ASV457	12	0	6	10	0	11
ASV265	28	0	22	0	1	1
ASV158	101	0	2	0	0	2
ASV669	12	0	0	3	2	10
ASV188	20	0	2	14	0	31
ASV296	17	0	9	18	0	0
ASV88	46	0	56	33	0	14
ASV778	17	0	16	0	0	0
ASV164	45	0	22	18	0	9
ASV207	19	0	40	0	0	0
ASV232	34	0	21	0	0	0
ASV702	1	0	0	4	0	7
ASV175	24	0	2	25	0	15
ASV839	5	0	2	3	0	4
ASV769	22	0	3	2	0	7
ASV197	79	0	2	0	0	0
ASV212	14	0	5	2	0	28
ASV739	10	0	4	4	0	4
ASV597	16	0	2	4	0	2
ASV428	8	0	15	2	0	6
ASV572	5	0	0	2	0	43
ASV853	6	0	2	1	0	0
ASV444	7	0	4	4	0	16
ASV20	94	0	331	6	2	32
ASV223	19	0	6	19	0	23
ASV374	22	2	1	23	1	6
ASV559	11	0	11	2	0	4
ASV855	7	0	1	0	0	8
ASV452	16	0	1	6	0	3
ASV82	22	0	62	33	0	16
ASV151	22	0	38	24	0	24
ASV97	40	0	9	45	2	49
ASV335	2	0	49	1	0	0
ASV269	7	0	10	20	0	30
ASV77	33	0	37	51	0	52
ASV713	23	0	3	10	0	0
ASV332	57	0	3	11	0	2
ASV832	6	0	0	7	0	12
ASV75	38	0	21	44	0	24
ASV430	16	0	5	6	0	24
ASV221	57	0	0	2	0	5
ASV754	9	0	0	0	0	0
ASV231	10	0	14	11	0	28
