AvgSpotLen	BioSample	Experiment	MBases	MBytes	SeqID	SRA_Sample	Sample_Name	WWTP	collection_date	env_feature	lat_lon	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_material	geo_loc_name
446	SAMN02950682	SRX668433	1	2	SRR1536193	SRS673933	Cowansville.Aug08	Cowansville	8/15/08	wastewater treatment plant	45.22 N 72.77 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
494	SAMN02950697	SRX669311	2	5	SRR1536194	SRS673934	Cowansville.Feb09	Cowansville	2/15/09	wastewater treatment plant	45.22 N 72.77 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
523	SAMN02950686	SRX669314	3	6	SRR1536238	SRS673936	Cowansville.Feb13	Cowansville	2/15/13	wastewater treatment plant	45.22 N 72.77 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
500	SAMN02950683	SRX669315	2	5	SRR1536237	SRS673937	Farnham.Aug08	Farnham	8/15/08	wastewater treatment plant	45.28 N 72.99 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
511	SAMN02950714	SRX669317	2	4	SRR1536236	SRS673938	Farnham.Feb09	Farnham	2/15/09	wastewater treatment plant	45.28 N 72.99 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
515	SAMN02950684	SRX669318	2	6	SRR1536235	SRS673939	Farnham.Feb13	Farnham	2/15/13	wastewater treatment plant	45.28 N 72.99 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
519	SAMN02950699	SRX669319	2	5	SRR1536234	SRS673940	Granby.Day1	Granby	08/01/2008	wastewater treatment plant	45.37 N 72.77 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
516	SAMN02950693	SRX669321	2	5	SRR1536233	SRS673941	Granby.Day15	Granby	8/15/08	wastewater treatment plant	45.37 N 72.77 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
511	SAMN02950694	SRX669322	2	4	SRR1536232	SRS673942	Granby.Day16	Granby	2/15/09	wastewater treatment plant	45.37 N 72.77 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
517	SAMN02950692	SRX669324	2	6	SRR1536231	SRS673943	Granby.Feb13	Granby	2/15/13	wastewater treatment plant	45.37 N 72.77 W	AMPLICON	PRJNA257311	MIMS.me	MCGILL UNIVERSITY	public	sra	ncbi	0	454 GS FLX Titanium	SINGLE	PCR	METAGENOMIC	05/08/2014	wastewater metagenome	LS454	01/08/2015	SRP045200	populated place	Sewage	Canada:Montreal
