#OTU ID	SRR1536193	SRR1536194	SRR1536202	SRR1536203	SRR1536204	SRR1536205	SRR1536207	SRR1536208	SRR1536209	SRR1536210	SRR1536211	SRR1536212	SRR1536213	SRR1536214	SRR1536215	SRR1536216	SRR1536217	SRR1536218	SRR1536219	SRR1536220	SRR1536221	SRR1536222	SRR1536223	SRR1536224	SRR1536225	SRR1536226	SRR1536227	SRR1536228	SRR1536229	SRR1536230	SRR1536231	SRR1536232	SRR1536233	SRR1536234	SRR1536235	SRR1536236	SRR1536237	SRR1536238	SRR1536432
ASV402	22	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	10	0	0	0	0	0	6	0	0	0	2	0	2	2	1	3	0	0	1	0
ASV48	16	26	0	46	45	0	0	0	6	7	10	7	0	2	0	3	0	16	110	0	1	1	63	0	0	0	3	11	105	0	0	1	2	0	56	4	10	2	0
ASV157	6	33	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	20	19	16	7	4	0	12	35	0
ASV512	5	13	0	0	0	2	0	0	0	0	0	1	0	1	1	0	0	0	7	2	0	0	1	3	1	2	1	0	0	12	9	13	7	11	3	1	0	10	8
ASV1249	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	2	0	0
ASV1292	10	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV150	46	71	0	0	0	0	0	4	0	0	0	0	1	0	3	0	0	2	0	0	0	1	2	8	0	0	0	0	0	1	17	0	0	1	4	5	2	35	2
ASV914	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	6	3	0	0	17	0	0	0
ASV776	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ASV32	19	52	0	1	7	5	2	8	28	15	37	18	7	16	80	25	0	0	0	0	26	3	16	1	0	2	8	22	3	8	4	12	8	14	12	22	58	45	3
ASV789	10	0	0	0	0	0	0	0	0	18	0	2	0	2	15	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0
ASV42	4	11	0	0	16	0	9	0	25	27	1	5	4	21	16	4	0	0	7	26	23	39	21	1	1	19	16	29	19	0	0	0	0	0	10	18	25	0	0
