Feature ID	Taxon	Consensus
ESV_7.1518	k__Bacteria;  p__Campilobacterota;  c__Campylobacteria;  o__Campylobacterales;  f__Campylobacteraceae;  g__Campylobacter; s__	1.0
ESV_41.1556	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	1.0
ESV_55.1556	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	0.6
ESV_56.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Klebsiella; s__	1.0
ESV_64.1555	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus; s__	1.0
ESV_73.1556	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_suis	1.0
ESV_94.1556	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus; s__	1.0
ESV_127.1557	k__Bacteria;  p__Verrucomicrobiota;  c__Chlamydiae;  o__Chlamydiales;  f__Chlamydiaceae;  g__Chlamydia;  s__Chlamydia_trachomatis	1.0
ESV_138.1547	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelotrichaceae;  g__Erysipelothrix; s__	1.0
ESV_181.1528	k__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Corynebacteriales;  f__Nocardiaceae;  g__Rhodococcus; s__	0.9
ESV_199.1546	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Legionellales;  f__Legionellaceae;  g__Legionella;  s__Legionella_pneumophila	1.0
ESV_206.1555	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus; s__	1.0
ESV_216.1547	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Xanthomonadales;  f__Xanthomonadaceae;  g__Xanthomonas; s__	1.0
ESV_255.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Vibrionales;  f__Vibrionaceae;  g__Vibrio;  s__Vibrio_vulnificus	1.0
ESV_318.1563	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Bacillales;  f__Bacillaceae;  g__Bacillus; s__	1.0
ESV_330.1536	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Burkholderiaceae;  g__Burkholderia-Caballeronia-Paraburkholderia; s__	1.0
ESV_332.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	1.0
ESV_334.1530	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pasteurellales;  f__Pasteurellaceae;  g__Pasteurella;  s__Pasteurella_multocida	0.7
ESV_340.1554	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Klebsiella; s__	0.9
ESV_378.1537	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Alteromonadales;  f__Shewanellaceae;  g__Shewanella	1.0
ESV_392.1534	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Lactobacillaceae;  g__Lactobacillus;  s__Lactobacillus_reuteri	1.0
ESV_425.1544	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus; s__	1.0
ESV_426.1585	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Moraxellaceae;  g__Acinetobacter	1.0
ESV_440.1508	k__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Clostridiales;  f__Clostridiaceae;  g__Ca_Arthromitus; s__	1.0
ESV_464.1542	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Escherichia-Shigella; s__	1.0
ESV_472.1474	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Oceanospirillales;  f__Halomonadaceae;  g__Chromohalobacter; s__	0.9
ESV_494.1537	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus	1.0
ESV_498.1535	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Yersiniaceae;  g__Yersinia; s__	1.0
ESV_524.1536	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Mycoplasmatales;  f__Mycoplasmataceae;  g__Mycoplasma; s__	1.0
ESV_545.1555	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Listeriaceae;  g__Listeria; s__	1.0
ESV_546.1543	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Chromobacteriaceae;  g__Chromobacterium;  s__Chromobacterium_vaccinii	0.8
ESV_558.1555	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Aeromonadales;  f__Aeromonadaceae;  g__Aeromonas; s__	1.0
ESV_584.1545	k__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_mutans	0.8
ESV_589.1556	k__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae;  g__Salmonella; s__	1.0
