ESV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV1.1417,Bacteria,Chloroflexi,Anaerolineae,C10-SB1A,midas_f_1,midas_g_1,midas_s_1
ESV2.1445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Ca_Microthrix,midas_s_2
ESV3.1445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Ca_Microthrix,midas_s_3
ESV4.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV5.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_5
ESV6.1456,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_6,midas_s_6
ESV7.1445,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_7,midas_s_7
ESV8.1456,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Fastidiosipila,midas_g_8,midas_s_8
ESV9.1457,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Fastidiosipila,midas_g_8,midas_s_8
ESV10.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_5
ESV11.1455,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_11
ESV12.1439,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,midas_g_12,midas_s_12
ESV13.1455,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_13,midas_s_13
ESV14.1445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Ca_Microthrix,midas_s_2
ESV15.1455,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_13,midas_s_13
ESV16.1463,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,midas_s_16
ESV17.1447,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_17
ESV18.1489,Bacteria,Fermentibacterota,Fermentibacteria,Fermentibacterales,Fermentibacteraceae,midas_g_18,midas_s_18
ESV19.1449,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,midas_g_19,midas_s_19
ESV20.1450,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_20,midas_s_20
ESV21.1444,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29_marine_group,midas_s_21
ESV22.1445,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,ST-12K33,midas_g_22,midas_s_22
ESV23.1439,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_23,midas_s_23
ESV24.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,midas_s_24
ESV25.1387,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,midas_s_25
ESV26.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,midas_s_26
ESV27.1459,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7_clade,midas_s_27
ESV28.1476,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum,midas_s_28
ESV29.1449,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,OLB8,midas_s_29
