SeqID	sampleid	Genotype	Soil	Compartment	Bio_rep	Tech_rep	Library
18085-B5-R-01-S1-library1	BS.1.1	na	Askov	Soil	1	1	1
18085-B5-R-02-S2-library1	BS.2.1	na	Askov	Soil	2	1	1
18085-B5-R-03-S3-library1	BS.3.1	na	Askov	Soil	3	1	1
18085-B5-R-04-S4-library1	Lj.RZ.1.1	Lj	Askov	Rhizosphere	1	1	1
18085-B5-R-05-S5-library1	Lj.RZ.2.1	Lj	Askov	Rhizosphere	2	1	1
18085-B5-R-06-S6-library1	Lj.RZ.3.1	Lj	Askov	Rhizosphere	3	1	1
18085-B5-R-07-S7-library1	Mt.RZ.1.1	Mt	Askov	Rhizosphere	1	1	1
18085-B5-R-08-S8-library1	Mt.RZ.2.1	Mt	Askov	Rhizosphere	2	1	1
18085-B5-R-09-S9-library1	Mt.RZ.3.1	Mt	Askov	Rhizosphere	3	1	1
18085-B5-R-10-S10-library1	Hv.RZ.1.1	Barley	Askov	Rhizosphere	1	1	1
18085-B5-R-11-S11-library1	Hv.RZ.2.1	Barley	Askov	Rhizosphere	2	1	1
18085-B5-R-12-S12-library1	Hv.RZ.3.1	Barley	Askov	Rhizosphere	3	1	1
18085-B5-R-13-S13-library1	Mz.RZ.1.1	Maize	Askov	Rhizosphere	1	1	1
18085-B5-R-14-S14-library1	Mz.RZ.2.1	Maize	Askov	Rhizosphere	2	1	1
18085-B5-R-15-S15-library1	Mz.RZ.3.1	Maize	Askov	Rhizosphere	3	1	1
18085-B5-R-16-S16-library1	Lj.ES.1.1	Lj	Askov	Endosphere	1	1	1
18085-B5-R-17-S17-library1	Lj.ES.2.1	Lj	Askov	Endosphere	2	1	1
18085-B5-R-18-S18-library1	Lj.ES.3.1	Lj	Askov	Endosphere	3	1	1
18085-B5-R-19-S19-library1	Mt.ES.1.1	Mt	Askov	Endosphere	1	1	1
18085-B5-R-20-S20-library1	Mt.ES.2.1	Mt	Askov	Endosphere	2	1	1
18085-B5-R-21-S21-library1	Mt.ES.3.1	Mt	Askov	Endosphere	3	1	1
18085-B5-R-22-S22-library1	Hv.ES.1.1	Barley	Askov	Endosphere	1	1	1
18085-B5-R-23-S23-library1	Hv.ES.2.1	Barley	Askov	Endosphere	2	1	1
18085-B5-R-24-S24-library1	Hv.ES.3.1	Barley	Askov	Endosphere	3	1	1
18085-B5-R-25-S25-library1	BS.1.2	na	Askov	Soil	1	2	1
18085-B5-R-26-S26-library1	BS.2.2	na	Askov	Soil	2	2	1
18085-B5-R-27-S27-library1	BS.3.2	na	Askov	Soil	3	2	1
18085-B5-R-28-S28-library1	Lj.RZ.1.2	Lj	Askov	Rhizosphere	1	2	1
18085-B5-R-29-S29-library1	Lj.RZ.2.2	Lj	Askov	Rhizosphere	2	2	1
18085-B5-R-30-S30-library1	Lj.RZ.3.2	Lj	Askov	Rhizosphere	3	2	1
18085-B5-R-31-S31-library1	Mt.RZ.1.2	Mt	Askov	Rhizosphere	1	2	1
18085-B5-R-32-S32-library1	Mt.RZ.2.2	Mt	Askov	Rhizosphere	2	2	1
18085-B5-R-33-S33-library1	Mt.RZ.3.2	Mt	Askov	Rhizosphere	3	2	1
18085-B5-R-34-S34-library1	Hv.RZ.1.2	Barley	Askov	Rhizosphere	1	2	1
18085-B5-R-35-S35-library1	Hv.RZ.2.2	Barley	Askov	Rhizosphere	2	2	1
18085-B5-R-36-S36-library1	Hv.RZ.3.2	Barley	Askov	Rhizosphere	3	2	1
18085-B5-R-37-S37-library1	Mz.RZ.1.2	Maize	Askov	Rhizosphere	1	2	1
18085-B5-R-38-S38-library1	Mz.RZ.2.2	Maize	Askov	Rhizosphere	2	2	1
18085-B5-R-39-S39-library1	Mz.RZ.3.2	Maize	Askov	Rhizosphere	3	2	1
18085-B5-R-40-S40-library1	Lj.ES.1.2	Lj	Askov	Endosphere	1	2	1
18085-B5-R-41-S41-library1	Lj.ES.2.2	Lj	Askov	Endosphere	2	2	1
18085-B5-R-42-S42-library1	Lj.ES.3.2	Lj	Askov	Endosphere	3	2	1
18085-B5-R-43-S43-library1	Mt.ES.1.2	Mt	Askov	Endosphere	1	2	1
18085-B5-R-44-S44-library1	Mt.ES.2.2	Mt	Askov	Endosphere	2	2	1
18085-B5-R-45-S45-library1	Mt.ES.3.2	Mt	Askov	Endosphere	3	2	1
18085-B5-R-46-S46-library1	Hv.ES.1.2	Barley	Askov	Endosphere	1	2	1
18085-B5-R-47-S47-library1	Hv.ES.2.2	Barley	Askov	Endosphere	2	2	1
18085-B5-R-48-S48-library1	Hv.ES.3.2	Barley	Askov	Endosphere	3	2	1
18085-B5-R-49-S49-library1	BS.1.3	na	Askov	Soil	1	3	1
18085-B5-R-50-S50-library1	BS.2.3	na	Askov	Soil	2	3	1
18085-B5-R-51-S51-library1	BS.3.3	na	Askov	Soil	3	3	1
18085-B5-R-52-S52-library1	Lj.RZ.1.3	Lj	Askov	Rhizosphere	1	3	1
18085-B5-R-53-S53-library1	Lj.RZ.2.3	Lj	Askov	Rhizosphere	2	3	1
18085-B5-R-54-S54-library1	Lj.RZ.3.3	Lj	Askov	Rhizosphere	3	3	1
18085-B5-R-55-S55-library1	Mt.RZ.1.3	Mt	Askov	Rhizosphere	1	3	1
18085-B5-R-56-S56-library1	Mt.RZ.2.3	Mt	Askov	Rhizosphere	2	3	1
18085-B5-R-57-S57-library1	Mt.RZ.3.3	Mt	Askov	Rhizosphere	3	3	1
18085-B5-R-58-S58-library1	Hv.RZ.1.3	Barley	Askov	Rhizosphere	1	3	1
18085-B5-R-59-S59-library1	Hv.RZ.2.3	Barley	Askov	Rhizosphere	2	3	1
18085-B5-R-60-S60-library1	Hv.RZ.3.3	Barley	Askov	Rhizosphere	3	3	1
18085-B5-R-61-S61-library1	Mz.RZ.1.3	Maize	Askov	Rhizosphere	1	3	1
18085-B5-R-62-S62-library1	Mz.RZ.2.3	Maize	Askov	Rhizosphere	2	3	1
18085-B5-R-63-S63-library1	Mz.RZ.3.3	Maize	Askov	Rhizosphere	3	3	1
18085-B5-R-64-S64-library1	Lj.ES.1.3	Lj	Askov	Endosphere	1	3	1
18085-B5-R-65-S65-library1	Lj.ES.2.3	Lj	Askov	Endosphere	2	3	1
18085-B5-R-66-S66-library1	Lj.ES.3.3	Lj	Askov	Endosphere	3	3	1
18085-B5-R-67-S67-library1	Mt.ES.1.3	Mt	Askov	Endosphere	1	3	1
18085-B5-R-68-S68-library1	Mt.ES.2.3	Mt	Askov	Endosphere	2	3	1
18085-B5-R-69-S69-library1	Mt.ES.3.3	Mt	Askov	Endosphere	3	3	1
18085-B5-R-70-S70-library1	Hv.ES.1.3	Barley	Askov	Endosphere	1	3	1
18085-B5-R-71-S71-library1	Hv.ES.2.3	Barley	Askov	Endosphere	2	3	1
18085-B5-R-72-S72-library1	Hv.ES.3.3	Barley	Askov	Endosphere	3	3	1
18085-B5-R-73-S73-library1	Mz.ES.1.1	Maize	Askov	Endosphere	1	1	1
18085-B5-R-74-S74-library1	Mz.ES.2.1	Maize	Askov	Endosphere	2	1	1
18085-B5-R-75-S75-library1	Mz.ES.3.1	Maize	Askov	Endosphere	3	1	1
