"FLASV","idty","Kingdom","Phylum","Class","Order","Family","Genus"
"FLASV1.1359",99.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV2.952",100,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV3.1306",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"FLASV4.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV5.1308",99,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Nostoc_PCC-7524"
"FLASV6.952",99.8,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV7.1345",99.1,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"FLASV8.1368",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"FLASV9.952",99.7,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV10.1360",99.6,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV11.1360",99.4,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV12.1360",99.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV13.1345",99.2,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"FLASV14.1339",99.6,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV15.1352",100,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV16.1360",99.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV17.952",99.9,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV18.1379",99.1,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV19.952",99.9,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV20.1372",100,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV21.1362",99.9,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae",""
"FLASV22.1372",99.6,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV23.1352",99.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV24.1311",100,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Lotus_japonicus",""
"FLASV25.1345",100,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Elizabethkingia"
"FLASV26.1358",99.6,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas"
"FLASV27.1366",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"FLASV28.1309",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV29.1340",99.9,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV30.1358",100,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"FLASV31.1340",98.4,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV32.1306",99.2,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Durinskia_baltica",""
"FLASV33.1352",98.9,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV34.1344",99,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV35.1306",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer"
"FLASV36.1361",99.5,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"FLASV37.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV38.1303",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum"
"FLASV39.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV40.1309",99.2,"Bacteria","Cyanobacteria","Cyanobacteriia","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429"
"FLASV41.1313",98.9,"Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbya_Es-Yyy1000"
"FLASV42.1358",99.2,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV43.1345",98.7,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"FLASV44.952",99.8,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV45.1379",99.8,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV46.1360",99,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV47.1360",99.7,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV48.1360",99.6,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV49.952",99.9,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV50.1352",99.8,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"FLASV51.952",99.9,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",""
"FLASV52.1339",99.6,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"FLASV53.1379",100,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","RB41"
"FLASV54.1360",99.2,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV55.1302",100,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"FLASV56.1372",99.9,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV57.1312",92.8,"Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chlamydomonas_reinhardtii",""
"FLASV58.1342",98.7,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV59.1372",100,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus"
"FLASV60.1358",98.6,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV61.1309",99.6,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","",""
"FLASV62.1359",98.7,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"FLASV63.1344",98.4,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"FLASV64.1359",99.3,"Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"FLASV65.1343",99.6,"Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","CL500-29_marine_group"
"FLASV66.1309",99.9,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",""
"FLASV67.1310",99.8,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",""
