FLASV,Kingdom,Phylum,Class,Order,Family,Genus,Species,Tax
FLASV1.1359,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,AsCoM_s_1,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Sphingobacterium,s:AsCoM_s_1,"
FLASV2.952,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,AsCoM_g_2,AsCoM_s_2,"d:Archaea,p:Crenarchaeota,c:Nitrososphaeria,o:Nitrososphaerales,f:Nitrososphaeraceae,g:AsCoM_g_2,s:AsCoM_s_2,"
FLASV3.1306,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,AsCoM_s_3,"d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,s:AsCoM_s_3,"
FLASV4.1372,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Staphylococcus_kloosii,"d:Bacteria,p:Firmicutes,c:Bacilli,o:Staphylococcales,f:Staphylococcaceae,g:Staphylococcus,s:Staphylococcus_kloosii,"
FLASV5.1308,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Nostocaceae,Nostoc_PCC-7524,AsCoM_s_5,"d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Cyanobacteriales,f:Nostocaceae,g:Nostoc_PCC-7524,s:AsCoM_s_5,"
FLASV6.952,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,AsCoM_g_2,AsCoM_s_2,"d:Archaea,p:Crenarchaeota,c:Nitrososphaeria,o:Nitrososphaerales,f:Nitrososphaeraceae,g:AsCoM_g_2,s:AsCoM_s_2,"
FLASV7.1345,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,AsCoM_s_7,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Weeksellaceae,g:Chryseobacterium,s:AsCoM_s_7,"
FLASV8.1368,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,AsCoM_s_8,"d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Stenotrophomonas,s:AsCoM_s_8,"
FLASV9.952,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,AsCoM_g_2,AsCoM_s_2,"d:Archaea,p:Crenarchaeota,c:Nitrososphaeria,o:Nitrososphaerales,f:Nitrososphaeraceae,g:AsCoM_g_2,s:AsCoM_s_2,"
FLASV10.1360,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphingobacterium_multivorum,"d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:Sphingobacteriaceae,g:Sphingobacterium,s:Sphingobacterium_multivorum,"
