#OTU ID	seq
Clone01	76
Clone04	443
Clone05	824
Clone06	1017
Clone08	709
Clone10	22
Clone11	99
Clone13	652
Clone15	270
Clone16 	0
Clone17	1205
Clone24	360
Clone26	340
Clone29	345
Clone32	418
Clone34	1762
Clone40/55	1449
Clone41	226
Clone42	808
Clone23/45	2530
Clone53	1505
Clone56	618
Clone57	178
Clone58	791
Clone59	593
Clone62	447
Clone64	1045
Clone66	933
Clone67	1013
Clone68	120
Clone69	244
Clone70	1040
Clone71	920
Clone73	1027
Clone75	439
Clone30/76/77/78	3688
Clone80	98
Clone83	489
Clone84	224
Clone87	1912
Clone95	600
