#OTU ID	Article_ID 	seq
Clone01	Tax1	0
Clone04	Tax2	0
Clone05	Tax3	3264
Clone06	Tax4	0
Clone08	Tax5	0
Clone10	Tax6	234
Clone11	Tax7	70
Clone13	Tax8	2
Clone15	Tax9	0
Clone16	Tax10	0
Clone17	Tax11	9523
Clone24	Tax13	0
Clone26	Tax14	26
Clone29	Tax15	4
Clone32	Tax17	7721
Clone34	Tax18	0
Clone41	Tax20	136
Clone42	Tax21	16
Clone23/45	Tax12/Tax22	18
Clone53	Tax23	0
Clone40/55	Tax19/Tax24	0
Clone56	Tax25	4222
Clone57	Tax26	0
Clone58	Tax27	0
Clone59	Tax28	65
Clone62	Tax29	10
Clone64	Tax30	0
Clone66	Tax31	0
Clone67	Tax32	0
Clone68	Tax33	2062
Clone69	Tax34	5
Clone70	Tax35	0
Clone71	Tax36	0
Clone73	Tax37	127
Clone75	Tax38	2
Clone30/76/77/78	Tax16/Tax39/Tax40/Tax41	2104
Clone80	Tax42	0
Clone83	Tax43	10581
Clone84	Tax44	0
Clone87	Tax45	0
Clone95	Tax46	17
