#OTU ID	seq
Clone01	0
Clone04	0
Clone05	3630
Clone06	0
Clone08	0
Clone10	68
Clone11	334
Clone13	657
Clone15	704
Clone16	0
Clone17	3561
Clone24	98
Clone26	1396
Clone29	778
Clone32	1571
Clone34	0
Clone40/55	13
Clone41	630
Clone42	1706
Clone23/45	1097
Clone53	5
Clone56	1736
Clone57	0
Clone58	0
Clone59	1704
Clone62	1025
Clone64	767
Clone66	1194
Clone67	0
Clone68	242
Clone69	473
Clone70	494
Clone71	6
Clone73	1151
Clone75	327
Clone30/76/77/78	8136
Clone80	69
Clone83	1881
Clone84	75
Clone87	562
Clone95	501
