ESV,bac1,bac10,bac2,bac3,bac7,bac8,bac9
ESV1.1417,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV10.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV100.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1000.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1001.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1002.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1003.1447,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV1004.1413,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1005.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1006.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1007.1450,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1008.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1009.1440,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV101.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1010.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1011.1484,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1012.1462,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1013.1464,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV1014.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1015.1444,Partial,Partial,Partial,Perfect,Perfect,Perfect,Partial
ESV1016.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1017.1464,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1018.1464,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV1019.1444,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV102.1409,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1020.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1021.1448,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1022.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1023.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1024.1432,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1025.1426,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1026.1426,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1027.1439,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1028.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1029.1448,Perfect,Poor,Perfect,Poor,Poor,Perfect,Perfect
ESV103.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1030.1413,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1031.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1032.1449,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1033.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1034.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1035.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1036.1427,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV1037.1412,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1038.1451,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1039.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV104.1481,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1040.1449,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1041.1451,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1042.1427,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1043.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1044.1448,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1045.1458,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1046.1448,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1047.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1048.1445,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1049.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV105.1425,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV1050.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1051.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1052.1441,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1053.1409,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1054.1502,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1055.1387,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1056.1444,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1057.1406,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1058.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1059.1471,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV106.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1060.1478,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1061.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1062.1455,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1063.1431,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1064.1442,Partial,Perfect,Partial,Perfect,Perfect,Perfect,Partial
ESV1065.1449,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1066.1392,Partial,Poor,Partial,Partial,Perfect,Perfect,Partial
ESV1067.1487,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1068.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1069.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV107.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1070.1446,Poor,Poor,Poor,Perfect,Perfect,Perfect,Poor
ESV1071.1449,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV1072.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1073.1407,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1074.1442,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1075.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1076.1435,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1077.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1078.1448,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1079.1462,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV108.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1080.1460,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1081.1453,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV1082.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1083.1426,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV1084.1409,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1085.1429,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV1086.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1087.1469,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1088.1487,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV1089.1424,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV109.1440,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1090.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1091.1411,Perfect,Poor,Perfect,Perfect,Partial,Partial,Perfect
ESV1092.1469,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1093.1404,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1094.1404,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1095.1456,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1096.1475,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1097.1448,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV1098.1460,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV1099.1463,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV11.1455,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV110.1462,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1100.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1101.1442,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1102.1455,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV1103.1474,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1104.1417,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1105.1481,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1106.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1107.1472,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1108.1427,Partial,Poor,Partial,Partial,Partial,Perfect,Perfect
ESV1109.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV111.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1110.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1111.1475,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1112.1477,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1113.1404,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1114.1477,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1115.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1116.1459,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1117.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1118.1443,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1119.1451,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV112.1461,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1120.1455,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1121.1462,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1122.1455,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1123.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1124.1460,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1125.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1126.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1127.1464,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1128.1448,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1129.1434,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV113.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1130.1436,Perfect,Poor,Perfect,Partial,Partial,Perfect,Perfect
ESV1131.1456,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1132.1450,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1133.1441,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1134.1481,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1135.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1136.1426,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV1137.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1138.1440,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1139.1404,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV114.1455,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1140.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1141.1464,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1142.1444,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1143.1464,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1144.1532,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1145.1468,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1146.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1147.1485,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1148.1451,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1149.1442,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV115.1442,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1150.1459,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1151.1441,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1152.1436,Perfect,Poor,Perfect,Partial,Partial,Perfect,Perfect
ESV1153.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1154.1439,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1155.1385,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1156.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1157.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1158.1455,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV1159.1445,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
